gender,forehead_chin,left_ear_right_ear,height,weight,age
0,82.56512580987206,71.56814934033156,5.3,53,41
1,42.2965719651132,34.23448553724738,5.9,0,36
0,76.0,56.568542494923804,5.6,0,44
1,78.91767862779544,60.63827174318213,5.9,78,58
1,84.38009243891595,50.92150822589606,0,0,52
0,94.14881836751856,78.587530817554,5.5,54,34
1,100.00499987500625,84.00595217006948,6.1,82,29
0,72.0,54.037024344425184,5.9,59,40
0,48.093658625644196,36.013886210738214,5.5,53,44
1,97.02061636580135,69.0,5.9,83,38
1,117.2092146548214,90.35485598461214,5.7,75,25
0,67.11929677819934,48.0,5.5,53,49
0,37.013511046643494,21.095023109728988,5.9,53,42
0,72.56031973468694,45.0111097397076,5.6,60,32
1,91.6624241442479,66.48308055437865,5.9,66,35
1,64.28063471995279,50.24937810560445,5.9,72,64
1,222.80484734403782,174.04597093871493,6.2,84,46
0,65.12296062065974,54.08326913195984,5.7,50,41
1,53.150729063673246,37.21558813185679,6.2,111,40
1,30.265491900843113,29.274562336608895,5.5,110,40
1,43.0,31.0,6.2,81,46
0,43.289721643826724,35.12833614050059,5.7,54,43
0,75.23961722390672,46.09772228646444,5.6,62,37
1,51.15662224971465,32.0624390837628,5.9,77,51
0,64.32728814430156,52.46903848937962,5.4,56,42
0,49.49747468305833,36.49657518178932,5.7,54,39
0,51.35172830587107,35.0,5.8,65,60
0,53.23532661682466,34.0147027033899,5.2,53,34
0,84.38009243891595,58.463663928973865,5.1,50,35
1,79.02531240052139,60.0,5.8,65,35
0,50.96076922496363,35.6931365951495,5.4,49,38
1,61.0,49.01020301937138,5.9,71,37
1,37.013511046643494,29.0,6.2,90,58
1,128.06248474865697,91.6624241442479,5.7,67,37
1,42.1070065428546,29.0,6.6,114,60
0,32.0624390837628,23.0,0,0,44
1,74.67261881037788,52.3450093132096,6,83,56
1,45.221676218380054,29.614185789921695,5.9,0,66
1,49.49747468305833,39.05124837953327,6.2,0,56
0,73.68174807915459,46.69047011971501,5.2,50,26
0,144.05554484295286,84.17244204607586,5.4,55,26
1,43.04648650006177,27.459060435491963,6.3,0,44
1,101.01980003939822,81.09870529176159,5.8,67,39
0,97.0051545022222,63.63961030678928,5.4,50,39
0,53.150729063673246,29.154759474226502,5.4,52,45
0,135.14806694880988,108.664621657649,5.5,45,38
0,83.72574275573791,61.29437168288782,5.3,45,38
1,64.00781202322104,60.0,6.1,81,57
1,68.59300255857006,46.17358552246078,5.10,74,60
1,58.249463516842795,40.607881008493905,6.1,81,45
1,72.02777242147643,54.12947441089743,5.7,65,44
1,47.12748667179272,43.41658669218482,6.2,73,33
1,78.05767098754612,57.0087712549569,6.4,84,36
1,96.00520819205592,74.0,6.11,107,58
1,89.00561780022652,139.0323703315167,6,74,37
0,94.70480452437458,69.57010852370435,4.12,46,40
0,75.8023746329889,73.348483283569,5.11,62,53
0,110.07270324653611,72.44308110509934,5.4,58,43
0,96.26006440887103,73.66138744281159,5.7,0,35
0,40.607881008493905,29.068883707497267,5.5,54,46
1,30.14962686336267,17.26267650163207,5.5,60,41
0,97.12878049270464,64.00781202322104,0,0,45
0,72.56721022610694,45.17742799230607,5.4,50,36
0,75.02666192761077,56.142675390472796,5.8,57,40
1,93.08598175880189,64.6297145282261,0,0,31
0,42.190046219457976,35.35533905932738,5.9,70,41
0,65.27633568147036,49.8196748283246,0,0,25
0,74.06078584514209,59.135437767890075,5.6,57,49
1,65.37583651472461,57.07889277132134,6.6,88,31
0,28.0,22.02271554554524,5.4,60,44
0,88.20430828479978,60.207972893961475,5.2,53,52
0,78.0,56.00892785976178,5.2,58,50
1,428.3176391417939,400.7655174787372,6.5,104,41
1,72.00694410957877,45.09988913511872,6.2,84,34
0,41.012193308819754,51.088159097779204,0,0,45
0,82.05485969764375,51.24451190127583,5.3,52,38
0,74.00675644831355,61.00819617067857,5.7,64,67
0,117.03845521878696,91.13725912051558,5.1,54,31
0,83.15046602394962,68.11754546370561,5.2,50,46
1,50.0,21.095023109728988,5.11,78,58
0,40.049968789001575,35.014282800023196,5.5,64,33
0,63.50590523722971,63.071388124885914,5.8,57,41
0,38.0,20.0,5.7,60,41
1,229.89562849258357,237.25513693068902,6.2,82,59
0,45.27692569068709,27.16615541441225,5.5,47,43
1,95.1892851112981,73.10950690573696,5.10,75,43
0,39.11521443121589,42.04759208325728,5.7,56,42
0,44.181444068749045,35.35533905932738,5.5,50,36
0,93.7709976485267,63.56099432828282,5.8,67,55
1,42.20189569201838,34.92849839314596,0,0,52
0,127.06297651164952,95.13148795220224,5.2,45,31
1,42.01190307520001,33.015148038438355,5.8,68,33
0,54.037024344425184,56.00892785976178,5.7,57,37
0,47.01063709417264,39.01281840626232,5.3,58,31
0,58.008620049092706,49.01020301937138,5.8,51,32
1,26.019223662515376,15.0,0,0,36
0,28.442925306655784,19.6468827043885,5.5,45,29
0,86.05230967266364,53.0,5.9,55,41
0,72.17340230306452,49.09175083453431,5.11,54,32
0,71.25307010929424,52.0,5.9,67,43
0,51.24451190127583,35.0,5.8,55,30
1,78.10249675906654,52.55473337388365,6.2,87,40
0,75.0,53.53503525729669,5.8,46,35
0,49.658836071740545,40.311288741492746,5.3,45,38
0,34.92849839314596,25.0,5.6,0,53
1,32.01562118716424,26.1725046566048,6.6,86,57
0,41.19465984809196,26.019223662515376,5.9,0,35
0,59.841457201508724,66.0,5.9,56,35
0,68.59300255857006,44.0,5.4,56,46
0,40.11234224026316,25.019992006393608,5.3,0,31
0,35.014282800023196,26.0,0,0,60
1,40.311288741492746,21.213203435596427,6,78,38
0,39.81205847478876,29.068883707497267,5.3,55,58
0,39.6232255123179,31.400636936215164,0,0,47
0,89.1403387922662,62.369864518050704,5.2,50,36
1,95.1892851112981,70.06425622241343,5.11,73,36
1,77.78174593052023,63.198101237299845,6,74,49
1,61.0,47.01063709417264,6.1,86,37
1,40.19950248448356,30.4138126514911,5.9,0,52
0,93.7709976485267,67.02984409947557,5.9,58,39
1,40.0,35.014282800023196,6,68,37
0,63.12685640834652,44.0,5.7,63,42
1,160.01562423713506,149.08386901338454,6.1,93,39
0,73.55270219373317,51.478150704935004,5.6,65,51
0,93.02150289046077,61.032778078668514,5.9,62,40
1,48.041648597857254,29.274562336608895,5.11,0,42
0,49.0,29.427877939124322,5.5,56,46
1,181.3394606807906,133.09019498069722,6.3,81,106
1,60.03332407921454,38.2099463490856,5.10,76,48
0,147.2175261305528,107.07474025184464,5.7,0,38
1,33.06055050963308,25.019992006393608,6,76,42
0,37.12142238654117,32.14031735997639,5.5,59,56
0,44.04543109109048,35.014282800023196,5.5,63,56
0,41.23105625617661,34.058772731852805,5.9,0,39
0,62.20128616033595,39.05124837953327,5.6,50,42
1,72.06247289678588,58.077534382926416,6.2,74,33
0,71.84705978674423,69.06518659932803,5.2,50,64
0,79.63039620647382,76.23647421018367,5.8,52,46
1,46.87216658103186,32.31098884280702,5.8,72,64
1,79.63039620647382,62.51399843235114,6.2,98,33
1,57.0701322935211,40.85339643163099,6.8,109,39
1,42.04759208325728,29.068883707497267,6.1,67,50
0,74.06078584514209,63.071388124885914,5.8,54,37
0,39.20459156782532,40.049968789001575,5.2,53,29
0,44.04543109109048,26.076809620810597,5.3,52,37
0,46.8187996428785,44.181444068749045,5.11,57,35
1,106.0,63.28506932918696,6.1,79,50
0,85.00588214941364,57.21887800367987,5.8,57,36
0,74.00675644831355,50.00999900019995,5.5,52,51
1,87.14355971613737,59.07622195096772,6,87,53
0,72.56031973468694,49.16299421312742,5.11,57,36
0,77.46612162745726,55.731499172371095,5.7,48,30
1,62.76941930590086,52.392747589718944,6.11,104,44
1,66.0,54.037024344425184,5.8,70,29
0,93.1933474020544,75.05997601918082,5.8,57,52
1,43.41658669218482,32.55764119219941,5.10,0,60
0,43.18564576337837,26.1725046566048,5.3,64,46
1,117.42657280190033,69.00724599634447,6,83,37
0,45.044422518220834,31.064449134018133,5.5,54,39
1,66.06814663663572,48.0,5.5,62,49
1,61.66036003787198,78.10249675906654,5.10,72,67
0,64.03124237432849,45.0,5.10,58,34
1,69.02897942168927,57.0087712549569,6,79,59
0,96.17692030835673,64.00781202322104,5.6,56,54
0,75.66372975210778,60.40695324215582,5.2,55,46
0,82.97590011563598,71.34423592694787,4.12,46,55
0,49.64876634922564,37.48332962798263,5.7,48,33
0,32.14031735997639,23.769728648009426,5.4,50,33
0,86.00581375697809,60.29925372672534,5.11,65,36
1,71.34423592694787,55.226805085936306,5.10,0,43
0,86.37129152675674,61.00819617067857,5.9,58,29
0,78.40918313565064,59.53990258641679,5.7,44,38
1,81.0,58.137767414994535,0,0,62
1,74.81310045707235,51.15662224971465,5.11,84,37
1,71.56814934033156,45.17742799230607,6.3,0,50
0,146.11296999240005,98.0,5.4,48,44
1,44.10215414239989,21.213203435596427,6.2,89,60
0,42.37924020083418,29.614185789921695,5.5,61,66
1,114.35471131527551,78.10249675906654,6.1,82,38
0,80.02499609497022,53.08483775994799,5.3,54,30
1,79.40403012442127,54.08326913195984,6,89,40
0,53.03772242470448,28.0178514522438,5.8,68,51
0,35.35533905932738,38.01315561749642,5.9,0,40
0,72.06247289678588,73.02739212103907,5.2,51,35
0,41.048751503547585,22.090722034374522,5.6,54,46
0,162.11107303327555,111.07204868912791,5.3,48,45
0,84.77027781009096,57.0087712549569,5.5,58,41
1,101.00495037373169,55.08175741568164,5.8,0,53
0,38.01315561749642,23.345235059857504,5.10,0,34
1,40.049968789001575,35.05709628591621,5.9,82,56
0,42.7551166528639,25.019992006393608,5.10,57,42
0,88.11923740024082,99.04544411531506,5.9,70,31
1,58.008620049092706,28.0178514522438,5.9,0,39
1,33.06055050963308,26.30589287593181,6.5,85,44
0,59.413803110051795,56.08029957123981,5.11,55,30
0,61.07372593840988,39.20459156782532,5.2,46,43
1,79.02531240052139,52.08646657242167,5.12,93,54
0,141.718029904455,98.15294188153507,5,48,36
0,107.22872749408155,68.06614430096654,5.5,53,36
0,53.03772242470448,39.0,5.7,55,43
0,87.36704184073076,66.007575322837,5.5,0,33
0,62.03224967708329,67.0,5.7,56,46
1,82.21921916437786,59.0,5.11,0,51
1,97.0051545022222,58.034472514187634,5.10,73,41
0,36.124783736376884,26.0,5.7,57,45
0,56.00892785976178,44.04543109109048,5.2,58,27
1,72.11102550927978,40.01249804748511,5.8,73,31
0,28.0178514522438,17.11724276862369,5.9,54,36
0,77.92945527847606,63.198101237299845,5.5,52,37
1,37.107950630558946,45.09988913511872,5.8,76,44
0,93.1933474020544,80.0,5.8,63,31
1,41.012193308819754,28.071337695236398,6.1,89,50
0,32.14031735997639,19.235384061671343,5.7,54,38
1,33.13608305156178,22.360679774997898,6.2,80,45
1,34.20526275297414,28.861739379323623,0,0,19
0,40.311288741492746,35.6931365951495,5.10,65,34
0,61.29437168288782,48.373546489791295,5.10,55,33
1,116.55899793666725,75.95393340703298,6,86,37
0,45.0111097397076,21.18962010041709,5.10,61,37
0,87.86353054595519,69.42621983083913,5.6,53,26
1,132.83448347473634,93.55746896961247,6,73,84
0,75.05997601918082,55.036351623268054,5.3,52,40
1,67.02984409947557,46.04345773288535,6.1,86,52
0,67.02984409947557,48.373546489791295,5.5,60,39
1,72.3394774656273,78.63841300535,6,71,59
0,67.02984409947557,53.08483775994799,5.9,52,31
0,36.124783736376884,28.071337695236398,5.9,54,38
0,75.16648189186454,70.00714249274856,5.6,52,37
1,59.07622195096772,54.037024344425184,6.2,75,43
0,57.07889277132134,44.04543109109048,5.10,54,35
1,62.20128616033595,47.01063709417264,5.10,76,44
0,35.35533905932738,17.26267650163207,5.3,51,33
0,43.41658669218482,26.92582403567252,5.2,43,42
0,59.481089431852205,40.607881008493905,5.8,58,53
0,51.478150704935004,37.21558813185679,5.5,52,39
1,122.06555615733703,84.2140130857092,5.11,70,43
0,70.8590149522275,40.11234224026316,5.2,52,55
0,42.0,29.017236257093817,5.7,0,36
0,56.22277118748239,59.135437767890075,5.5,49,29
1,70.0,58.0,5.10,81,75
1,62.289646009589745,45.39823785126467,6.1,81,44
0,82.87339742040264,62.39390995922599,5.7,52,38
0,66.007575322837,61.0,6.1,84,46
0,40.049968789001575,25.079872407968907,5.3,0,64
0,80.4114419718985,56.43580423808985,5.2,46,30
0,47.01063709417264,43.01162633521314,5.7,60,46
1,70.21395872616783,81.49846624323675,6,81,38
1,79.1580697086532,57.0087712549569,6.3,91,34
0,47.38143096192854,29.068883707497267,5.9,53,35
0,49.49747468305833,34.058772731852805,5.3,51,33
1,75.66372975210778,57.0350769263968,5.5,70,45
0,64.1248781675256,46.0,0,0,47
0,53.08483775994799,34.058772731852805,5.8,59,57
0,72.24956747275377,54.74486277268398,5.10,55,37
0,46.52956049652737,33.13608305156178,5.7,54,40
1,42.2965719651132,31.25699921617557,5.10,0,43
0,100.4987562112089,70.21395872616783,5.3,48,47
1,103.23759005323593,44.9221548904324,5.11,81,60
0,109.01834707974616,83.09632964216891,5.9,56,44
0,46.09772228646444,36.05551275463989,5.3,50,38
0,42.1070065428546,32.0624390837628,5.9,64,44
1,37.12142238654117,31.064449134018133,5.10,75,51
1,33.0,26.019223662515376,5.10,66,27
0,51.478150704935004,45.27692569068709,5.8,56,32
1,63.953107821277925,47.853944456021594,5.11,75,78
1,59.682493245507096,41.773197148410844,5.11,76,32
1,70.34912934784623,46.32493928760188,5.5,66,29
